smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.256,-0.088,0.344,0.19,1,0.534,0.15399999999999997,
CCCCCCn1cnc(-c2ccc(-c3nnc(C4(CC)CCCC4)nn3)nc2-c2nnc(C3(CC)CCCC3)nn2)n1,True,True,0.837,0.498,0.339,0.148,1,0.487,0.19100000000000003,c1nc(-c2ccc(-c3nnc(C4CCCC4)nn3)nc2-c2nnc(C3CCCC3)nn2)n[nH]1
CCCCCCCCCCCCOc1ccc(-c2ccc(-c3n[nH]c(-c4ccccn4)n3)nc2)cc1,True,True,0.745,0.405,0.339,0.155,1,0.494,0.18400000000000002,c1ccc(-c2ccc(-c3n[nH]c(-c4ccccn4)n3)nc2)cc1
CCCCCCc1nc(-c2nccc(C(=S)N(CCCC)CCCC)n2)nc(-c2cccs2)n1,True,True,0.379,0.043,0.336,0.182,2,0.518,0.15400000000000003,c1cnc(-c2ncnc(-c3cccs3)n2)nc1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccccn1,True,True,0.52,0.229,0.291,0.183,1,0.474,0.10799999999999998,c1ccncc1
CCCCCCCCC(CCCC)CN(CC(CCCC)CCCCCCCC)C(=O)c1cccc(-c2ncccn2)n1,True,True,0.516,0.229,0.288,0.168,1,0.45599999999999996,0.11999999999999997,c1ccc(-c2ncccn2)nc1
CCC(CC)CN(CC(CC)CC)C(=S)c1cccc(-c2cccc(C(=S)N(CC(CC)CC)CC(CC)CC)n2)n1,True,True,0.097,-0.186,0.283,0.198,3,0.481,0.08499999999999996,c1ccc(-c2ccccn2)nc1
CCCCCCCCN(CCCCCCCC)C(=O)CSCC(=O)N(CCCCCCCC)CCCCCCCC,True,True,0.214,-0.04,0.254,0.156,1,0.41000000000000003,0.098,
CCCCCCCCN(CCCCCCCC)C(=S)COCC(=S)N(CCCCCCCC)CCCCCCCC,True,True,0.273,0.06,0.213,0.219,1,0.432,0.0,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)Cc1cccc(-c2ccccn2)n1,True,True,0.418,0.225,0.193,0.183,1,0.376,0.010000000000000009,c1ccc(-c2ccccn2)nc1
CCCCCCC(CC)N(CC(CC)CCCC)C(=S)COCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.094,-0.073,0.167,0.194,1,0.361,0.0,
CCCCCCn1cc(-c2nc(-c3ccccn3)nc(-c3cccs3)n2)cn1,True,True,0.052,-0.107,0.159,0.201,2,0.36,0.0,c1ccc(-c2nc(-c3cn[nH]c3)nc(-c3cccs3)n2)nc1
CCCCCCCCN(Cc1ccccn1)C(=O)COCC(=O)N(CCCCCCCC)Cc1ccccn1,True,True,0.196,0.057,0.139,0.304,1,0.443,0.0,O=C(COCC(=O)NCc1ccccn1)NCc1ccccn1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2nc3ccccc3s2)n1,True,True,-0.101,-0.224,0.123,0.155,1,0.278,0.0,c1ccc(-c2nc3ccccc3s2)nc1
CCCCCCCCc1ccc(-c2nc(-c3ccnc(CCCCCCCC)c3)nc(-c3ncccn3)n2)nc1,True,True,0.394,0.293,0.101,0.136,1,0.23700000000000002,0.0,c1ccc(-c2nc(-c3ccncc3)nc(-c3ncccn3)n2)nc1
CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(-c2nc(-c3ccccn3)cc(-c3ccccn3)n2)n1,True,True,0.528,0.43,0.098,0.199,1,0.29700000000000004,0.0,c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)n2)nc1
CCCCCCCCc1nnc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)s1,True,True,0.202,0.11,0.092,0.174,2,0.266,0.0,c1ccc(-c2nc(-c3ccccn3)nc(-c3nncs3)n2)nc1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3cccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)c3c2n1,True,True,0.18,0.134,0.046,0.243,1,0.289,0.0,c1ccc2c(c1)ccc1cccnc12
CCCCc1nnc(-c2ccc3ccc4ncc(-c5nnc(CCCC)nn5)nc4c3n2)nn1,True,True,0.217,0.203,0.015,0.202,1,0.21700000000000003,0.0,c1nnc(-c2ccc3ccc4ncc(-c5nncnn5)nc4c3n2)nn1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CC(CC)CCCC)CC(CC)CCCC)nc3c2n1,True,True,0.51,0.515,0.005,0.122,1,0.127,0.0,c1cnc2c(c1)ccc1cccnc12
